total_day_minutes,n_sms,total_eve_minutes,total_eve_calls,customer_service_rating,customer_happiness,customer_service_calls,churn
395.3765747719325,221,607.641675707946,61,9,0.1834405479803669,0,0
782.4776673138323,179,609.5196487544971,144,3,0.0101954581606723,0,0
1144.4826967681795,218,549.2137211333508,183,8,0.7104977083719384,0,0
1147.9118477416253,502,559.9780574745249,163,10,0.0403557992435131,51,1
941.0331086606813,229,438.0692711587112,99,10,0.2603287865377591,19,0
1123.3696134712663,739,509.7405614686389,243,8,0.5505499960792962,6,0
1102.465549808524,152,525.6212126321586,109,9,0.3336613328921708,0,0
1276.7467430852114,422,845.7333825115288,117,6,0.0122340795610096,1,0
1496.4768132843817,416,417.0968073655531,182,7,0.4591095197897993,39,0
823.456997218731,356,764.5937041631621,240,7,0.2211344794819399,9,0
0.0,523,805.7764864690238,138,8,0.5075374566081065,1,0
1054.5173213751077,216,609.3142919437736,24,8,0.2884284795173316,8,0
887.7875111182667,61,497.1673447100805,140,7,0.6230225051947943,42,0
818.5789366540039,320,791.4123702683903,196,6,0.847358302157183,0,0
1014.110586697151,358,450.16050901400473,143,5,0.332663012886103,0,0
1168.454917140794,327,772.5416672573438,209,4,0.9196399474327688,0,0
1375.1538589002837,0,320.48353638276507,171,5,0.9443576711262726,31,0
861.5883252098411,221,723.8067270725423,138,10,0.1343197589588999,0,0
1546.3710344003207,409,695.9108380453479,115,6,0.8425737325950746,0,0
984.3775030117298,569,386.2593061098098,42,5,0.052583596983234,9,0
479.9055786445238,434,511.1454143964912,182,10,0.2722968677315681,18,0
1055.1528411809477,85,376.5296063009351,129,10,0.3613164970123114,42,0
962.2395398992384,223,664.7662110137662,247,7,0.5777698340100473,8,0
950.617550896704,488,856.1462346457039,173,5,0.7639394650143336,0,0
886.5273308803442,98,845.9623467585279,209,4,0.4039828568114125,0,0
733.308453865918,31,453.5004897675389,42,5,0.719095282071711,0,0
1078.346783978626,554,497.67032118178895,101,7,0.2475207645688363,36,0
772.0520910753778,502,435.4725290398191,210,5,0.7475013136610861,1,0
576.4931696106279,292,597.4202847562893,120,6,0.8829284590820332,0,0
1020.2339980876018,308,198.63551837631653,192,10,0.9357101075817048,3,0
1290.1148436847056,0,338.6692589940519,211,9,0.187927488699174,0,0
781.3877142465166,78,653.1090722153901,270,6,0.1405353444616031,2,0
1003.7363325102252,395,922.152801130273,185,9,0.5113966727512506,0,0
599.676056150294,101,569.0885822882583,138,10,0.8867411297721343,0,0
973.6593384540216,325,454.9024018194258,115,10,0.2435172802986382,0,0
567.4918737410194,0,263.0949300244169,112,10,0.3861651957388016,12,0
58.743405501248525,601,741.9762224510956,180,10,0.129623067863829,0,0
1125.873014917054,500,979.4259586831948,91,8,0.8473151447226859,0,0
969.98866930051,434,877.016666557469,95,4,0.5299734564669055,55,1
942.5630919637168,651,649.8107521461527,138,8,0.768640340104809,27,0
821.169385035873,210,452.665892216026,84,10,0.5774363793284492,0,0
1484.1737307335638,455,696.2907930977324,145,5,0.7503260608450805,0,0
580.4086798153204,28,270.7302197153977,109,5,0.0239799476552218,7,0
1161.7440607036451,70,585.2957127869732,94,8,0.7622838674015007,0,0
872.0755493703549,413,717.3280615288613,118,8,0.5118599786490416,0,0
1121.7528887139938,342,553.5380968045398,98,6,0.0509814924719842,0,0
652.3220999263759,63,612.6539025230556,232,10,0.4325092884995076,0,0
150.18167507064572,380,842.8387900374642,87,8,0.5400930702469111,0,0
1200.800345608986,386,621.5324223335473,173,8,0.9657686172128104,0,0
207.71888760866528,104,740.791707818884,264,8,0.1507710699482318,10,0
503.0442839417061,229,374.1894815680629,105,9,0.0966975120630422,63,1
443.4877118069908,309,502.0095091477958,89,8,0.9882995495975024,0,0
671.1808725247089,549,589.7045132448077,43,8,0.5034830066732029,15,0
1049.6012255425255,295,992.3849803076884,100,3,0.9466212155583176,6,0
1102.714625851616,375,543.4739222675853,197,6,0.2589530730468334,0,0
842.5256790999858,66,535.8199427876139,210,8,0.9934202001799364,0,0
798.1563450217798,328,419.9220439587524,174,8,0.9926725256024777,0,0
1136.1759393078778,126,201.88948959116897,103,6,0.0902672275820646,0,0
841.0378201828313,369,282.53544500030654,91,10,0.1566508047388058,4,0
